word_1,def_1-1,def_1-2,def_1-3,def_1-4,def_1-5,def_1-6,def_1-7,word_2,def_2-1,def_2-2,def_2-3,def_2-4,def_2-5,def_2-6,def_2-7
grading,"<crowd-radio-button name="def_1-0" value="def_1-0">the act of arranging in a graduated series</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">changing the ground level to a smooth horizontal or gently sloping surface</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">evaluation of performance by assigning a grade or score</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">assign a rank or rating to</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">level to the right gradient</crowd-radio-button>","<crowd-radio-button name="def_1-5" value="def_1-5">assign a grade or rank to, according to one's evaluation</crowd-radio-button>","<crowd-radio-button name="def_1-6" value="def_1-6">determine the grade of or assign a grade to</crowd-radio-button>",gradation,"<crowd-radio-button name="def_2-0" value="def_2-0">relative position in a graded series</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a degree of ablaut</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">the act of arranging in grades</crowd-radio-button>",o,o,o,o
moralizing,"<crowd-radio-button name="def_1-0" value="def_1-0">indulgence in moral pronouncements; the exposition (often superficially) of a particular moral code</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">interpret the moral meaning of</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">speak as if delivering a sermon; express moral judgements</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">improve the morals of</crowd-radio-button>",o,o,o,moralize,"<crowd-radio-button name="def_2-0" value="def_2-0">interpret the moral meaning of</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">speak as if delivering a sermon; express moral judgements</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">improve the morals of</crowd-radio-button>",o,o,o,o
overtaking,"<crowd-radio-button name="def_1-0" value="def_1-0">going by something that is moving in order to get in front of it</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">catch up with and possibly overtake</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">travel past</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">overcome, as with emotions or perceptual stimuli</crowd-radio-button>",o,o,o,overtake,"<crowd-radio-button name="def_2-0" value="def_2-0">catch up with and possibly overtake</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">travel past</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">overcome, as with emotions or perceptual stimuli</crowd-radio-button>",o,o,o,o
nasturtium,"<crowd-radio-button name="def_1-0" value="def_1-0">any tropical American plant of the genus Tropaeolum having pungent juice and long-spurred yellow to red flowers</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">aquatic herbs</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">flowers and seeds and leaves all used as flavorings</crowd-radio-button>",o,o,o,o,watercress,"<crowd-radio-button name="def_2-0" value="def_2-0">any of several water-loving cresses</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">cresses that grow in clear ponds and streams</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">of a moderate yellow-green color that is greener and deeper than moss green and yellower and darker than pea green</crowd-radio-button>",o,o,o,o
menace,"<crowd-radio-button name="def_1-0" value="def_1-0">something that is a source of danger</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a threat or the act of threatening</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">pose a threat to; present a danger to</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">express a threat either by an utterance or a gesture</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">act in a threatening manner</crowd-radio-button>",o,o,annoying,"<crowd-radio-button name="def_2-0" value="def_2-0">the act of troubling or annoying someone</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">cause annoyance in; disturb, especially by minor irritations</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">causing irritation or annoyance</crowd-radio-button>",o,o,o,o
volunteers,"<crowd-radio-button name="def_1-0" value="def_1-0">(military) a person who freely enlists for service</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a person who performs voluntary work</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">a native or resident of Tennessee</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">tell voluntarily</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">agree freely</crowd-radio-button>","<crowd-radio-button name="def_1-5" value="def_1-5">do volunteer work</crowd-radio-button>",o,volunteer,"<crowd-radio-button name="def_2-0" value="def_2-0">(military) a person who freely enlists for service</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a person who performs voluntary work</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a native or resident of Tennessee</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">tell voluntarily</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">agree freely</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">do volunteer work</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">without payment</crowd-radio-button>"
rabbit,"<crowd-radio-button name="def_1-0" value="def_1-0">any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">the fur of a rabbit</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">flesh of any of various rabbits or hares (wild or domesticated) eaten as food</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">hunt rabbits</crowd-radio-button>",o,o,o,hares,"<crowd-radio-button name="def_2-0" value="def_2-0">swift timid long-eared mammal larger than a rabbit having a divided upper lip and long hind legs; young born furred and with open eyes</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">flesh of any of various rabbits or hares (wild or domesticated) eaten as food</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">run quickly, like a hare</crowd-radio-button>",o,o,o,o
mercenary,"<crowd-radio-button name="def_1-0" value="def_1-0">a person hired to fight for another country than their own</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">marked by materialism</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">serving for wages in a foreign army</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">profit oriented; ; - John Buchan</crowd-radio-button>",o,o,o,greedy,"<crowd-radio-button name="def_2-0" value="def_2-0">immoderately desirous of acquiring e.g. wealth</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">(often followed by `for') ardently or excessively desirous</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">wanting to eat or drink more than one can reasonably consume</crowd-radio-button>",o,o,o,o
distributor,"<crowd-radio-button name="def_1-0" value="def_1-0">someone who markets merchandise</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a person with authority to allot or deal out or apportion</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">a company that markets merchandise</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">electrical device that distributes voltage to the spark plugs of a gasoline engine in the order of the firing sequence</crowd-radio-button>",o,o,o,electric,"<crowd-radio-button name="def_2-0" value="def_2-0">a car that is powered by electricity</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">using or providing or producing or transmitting or operated by electricity</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">(of a situation) exceptionally tense</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">affected by emotion as if by electricity; thrilling</crowd-radio-button>",o,o,o
espouse,"<crowd-radio-button name="def_1-0" value="def_1-0">choose and follow; as of theories, ideas, policies, strategies or plans</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">take in marriage</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">take up the cause, ideology, practice, method, of someone and use it as one's own</crowd-radio-button>",o,o,o,o,married,"<crowd-radio-button name="def_2-0" value="def_2-0">a person who is married</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">take in marriage</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">perform a marriage ceremony</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">joined in matrimony</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">of or relating to the state of marriage</crowd-radio-button>",o,o
clinging,"<crowd-radio-button name="def_1-0" value="def_1-0">come or be in close contact with; stick or hold together and resist separation</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">to remain emotionally or intellectually attached</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">hold on tightly or tenaciously</crowd-radio-button>",o,o,o,o,cling,"<crowd-radio-button name="def_2-0" value="def_2-0">fruit (especially peach) whose flesh adheres strongly to the pit</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">come or be in close contact with; stick or hold together and resist separation</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">to remain emotionally or intellectually attached</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">hold on tightly or tenaciously</crowd-radio-button>",o,o,o
chrome,"<crowd-radio-button name="def_1-0" value="def_1-0">another word for chromium when it is used in dyes or pigments</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">plate with chromium</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">treat with a chromium compound</crowd-radio-button>",o,o,o,o,metal,"<crowd-radio-button name="def_2-0" value="def_2-0">any of several chemical elements that are usually shiny solids that conduct heat or electricity and can be formed into sheets etc.</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">cover with metal</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">containing or made of or resembling or characteristic of a metal; ; ; - Ambrose Bierce</crowd-radio-button>",o,o,o
maladjusted,"<crowd-radio-button name="def_1-0" value="def_1-0">poorly adjusted to demands and stresses of daily living</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">emotionally unstable and having difficulty coping with personal relationships</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">not well adjusted</crowd-radio-button>",o,o,o,o,cope,"<crowd-radio-button name="def_2-0" value="def_2-0">brick that is laid sideways at the top of a wall</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a long cloak; worn by a priest or bishop on ceremonial occasions</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">come to terms with</crowd-radio-button>",o,o,o,o
